Date,SPX,Market Cap Weight,Equal Weight
date,number,number,number
4/16/2021,1.34,1.14,1.08
4/15/2021,1.34,1.15,1.09
4/14/2021,1.32,1.16,1.09
4/13/2021,1.33,1.17,1.1
4/12/2021,1.32,1.17,1.1
4/11/2021,1.33,1.19,1.11
4/10/2021,1.33,1.19,1.11
4/9/2021,1.33,1.19,1.11
4/8/2021,1.31,1.19,1.11
4/7/2021,1.31,1.17,1.1
4/6/2021,1.31,1.18,1.1
4/5/2021,1.31,1.17,1.1
4/4/2021,1.29,1.17,1.1
4/3/2021,1.29,1.17,1.1
4/2/2021,1.29,1.19,1.1
4/1/2021,1.29,1.19,1.1
3/31/2021,1.28,1.17,1.09
3/30/2021,1.27,1.17,1.09
3/29/2021,1.27,1.16,1.09
3/28/2021,1.28,1.18,1.1
3/27/2021,1.28,1.18,1.1
3/26/2021,1.28,1.19,1.1
3/25/2021,1.25,1.2,1.09
3/24/2021,1.25,1.19,1.1
3/23/2021,1.26,1.24,1.12
3/22/2021,1.26,1.28,1.14
3/21/2021,1.26,1.28,1.14
3/20/2021,1.26,1.28,1.14
3/19/2021,1.26,1.3,1.14
3/18/2021,1.26,1.3,1.14
3/17/2021,1.28,1.34,1.16
3/16/2021,1.27,1.37,1.17
3/15/2021,1.27,1.37,1.19
3/14/2021,1.27,1.34,1.19
3/13/2021,1.27,1.34,1.19
3/12/2021,1.27,1.43,1.19
3/11/2021,1.26,1.42,1.19
3/10/2021,1.25,1.36,1.17
3/9/2021,1.24,1.34,1.16
3/8/2021,1.23,1.29,1.14
3/7/2021,1.23,1.34,1.16
3/6/2021,1.23,1.34,1.16
3/5/2021,1.23,1.23,1.16
3/4/2021,1.21,1.21,1.15
3/3/2021,1.23,1.26,1.19
3/2/2021,1.24,1.33,1.23
3/1/2021,1.25,1.38,1.27
2/28/2021,1.22,1.35,1.26
2/26/2021,1.22,1.35,1.26
2/25/2021,1.23,1.46,1.28
2/24/2021,1.26,1.54,1.34
2/23/2021,1.25,1.6,1.34
2/22/2021,1.24,1.99,1.4
2/21/2021,1.25,1.95,1.42
2/20/2021,1.25,1.95,1.42
2/19/2021,1.25,1.93,1.42
2/18/2021,1.26,1.96,1.41
2/17/2021,1.26,1.97,1.41
2/16/2021,1.26,1.93,1.41
2/15/2021,1.26,1.75,1.39
2/14/2021,1.26,1.75,1.39
2/13/2021,1.26,1.75,1.39
2/12/2021,1.26,1.79,1.39
2/11/2021,1.26,1.67,1.38
2/10/2021,1.25,1.71,1.39
2/9/2021,1.26,1.72,1.4
2/8/2021,1.26,1.72,1.41
2/7/2021,1.25,1.7,1.38
2/6/2021,1.25,1.7,1.38
2/5/2021,1.25,1.69,1.38
2/4/2021,1.24,1.64,1.38
