Date of IPO,Name,Ticker,ROI,ARR,Status,sector,exchange,country,industry,marketCap,heldPercentInstitutions,logo_url
2021-04-14,TPG Pace Beneficial II Corp.,YTPG,0.011000000000000001,6.364,Seeking a Target,Financial Services,NYQ,United States,Shell Companies,353846528,,https://logo.clearbit.com/tpg.com
2021-04-14,TCV Acquisition Corp.,TCVA,0.025,89.595,Seeking a Target,Financial Services,NMS,United States,Shell Companies,468979968,,
2021-04-09,Global SPAC Partners Company,GLSPT,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-04-09,Aldel Financial Inc.,ADF,,,Seeking a Target,NaN,YHD,NaN,NaN,NaN,NaN,
2021-04-09,TPG Pace Solutions Corp.,TPGS,0.013999999999999999,1.065,Seeking a Target,Financial Services,NYQ,United States,Shell Companies,324964704,,
2021-04-08,Tio Tech A,TIOA,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-04-08,Model Performance Acquisition Corp.,MPAC,,,Seeking a Target,NaN,YHD,NaN,NaN,NaN,NaN,
2021-04-07,Panacea Acquisition Corp. II,PANA,0.003,0.129,Seeking a Target,Financial Services,NMS,United States,Shell Companies,205002048,0.04638,
2021-04-07,CM Life Sciences III Inc.,CMLT,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-04-06,Ace Global Business Acquisition Limited,ACBA,,,Seeking a Target,NaN,YHD,NaN,NaN,NaN,NaN,
2021-03-31,Nocturne Acquisition Corporation,MBTC,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-30,two,TWOA,-0.006,-0.121,Seeking a Target,Financial Services,NYQ,United States,Shell Companies,261392000,0.17943001,
2021-03-25,"Landcadia Holdings IV, Inc.",LCA,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-25,MSD Acquisition Corp.,MSDA,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-24,Corazon Capital V838 Monoceros Corp,CRZN,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-24,Decarbonization Plus Acquisition Corporation III,DCRC,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-24,Khosla Ventures Acquisition Co. II,KVSB,0.02,0.369,Seeking a Target,Financial Services,NMS,United States,Shell Companies,488561568,,
2021-03-24,Khosla Ventures Acquisition Co. III,KVSC,0.011000000000000001,0.19,Seeking a Target,Financial Services,NCM,United States,Shell Companies,633191296,0.05618,
2021-03-24,Northern Genesis Acquisition Corp. III,NGC,,,Seeking a Target,NaN,YHD,NaN,NaN,NaN,NaN,
2021-03-24,Disruptive Acquisition Corporation I,DISA,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-23,Newbury Street Acquisition Corporation,NBST,,,Seeking a Target,Financial Services,NAS,United States,Shell Companies,,,
2021-03-23,ArcLight Clean Transition Corp. II,ACTD,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-23,Glass Houses Acquisition Corp.,GLHA,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-23,Rocket Internet Growth Opportunities Corp.,RKTA,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-23,TB SA Acquisition Corp,TBSA,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-23,Virgin Group Acquisition Corp. II,VGII,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-23,"Supernova Partners Acquisition Company III, Ltd.",STRE,,,Seeking a Target,NaN,YHD,NaN,NaN,NaN,NaN,
2021-03-23,"Gores Guggenheim, Inc.",GGPI,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-23,Magnum Opus Acquisition Limited,OPA,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-23,Dragoneer Growth Opportunities Corp. III,DGNU,0.013999999999999999,0.235,Seeking a Target,Financial Services,NMS,United States,Shell Companies,505499968,,
2021-03-23,"Lead Edge Growth Opportunities, Ltd",LEGA,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-23,NextGen Acquisition Corp. II,NGCA,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-19,LDH Growth Corp I,LDHA,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-19,Longview Acquisition Corp. II,LGV,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-19,Levere Holdings Corp.,LVRA,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-19,Glenfarne Merger Corp.,GGMC,,,Seeking a Target,NaN,YHD,NaN,NaN,NaN,NaN,
2021-03-19,AF Acquisition Corp.,AFAQ,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-19,BYTE Acquisition Corp.,BYTS,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-18,American Acquisition Opportunity Inc.,AMAO,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-18,Forum Merger IV Corporation,FMIV,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-18,GX Acquisition Corp. II,GXII,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-18,Revolution Healthcare Acquisition Corp.,REVH,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-18,Accelerate Acquisition Corp.,AAQC,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-18,Research Alliance Corp. II,RACB,0.1,2.319,Seeking a Target,Financial Services,NCM,United States,Shell Companies,209708448,0.15841,
2021-03-17,KKR Acquisition Holdings I Corp.,KAHC,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-17,Athena Technology Acquisition Corp.,ATHN,,,Seeking a Target,NaN,YHD,NaN,NaN,NaN,NaN,
2021-03-17,Tech and Energy Transition Corporation,TETC,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-17,Golden Arrow Merger Corp.,GAMC,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-17,Kadem Sustainable Impact Corporation,KSI,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-17,Build Acquisition Corp.,BGSX,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-16,Reinvent Technology Partners Y,RTPY,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-16,European Biotech Acquisition Corp.,EBAC,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-16,Fortress Value Acquisition Corp. IV,FVIV,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-16,Plum Acquisition Corp. I,PLMI,,,Seeking a Target,NaN,YHD,NaN,NaN,NaN,NaN,
2021-03-16,Waldencast Acquisition Corp.,WALD,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-16,FAST Acquisition Corp. II,FZT,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-12,"Gores Technology Partners, Inc.",GTPA,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-12,Ross Acquisition Corp II,ROSS,,,Seeking a Target,NaN,YHD,NaN,NaN,NaN,NaN,
2021-03-12,FTAC Parnassus Acquisition Corp.,FTPA,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-12,Stratim Cloud Acquisition Corp.,SCAQ,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-12,CF Acquisition Corp. VIII,CFFE,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-12,"Gores Technology Partners II, Inc.",GTPB,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-11,Silver Spike Acquisition Corp II,SPKB,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-11,Archimedes Tech SPAC Partners Co.,ATSP,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-11,G&P Acquisition Corp.,GAPA,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-11,Frontier Acquisition Corp.,FRON,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
2021-03-11,Pine Technology Acquisition Corp.,PTOC,,,Seeking a Target,NaN,NaN,NaN,NaN,NaN,NaN,
