Date of IPO,Name,Ticker,ROI,ARR,Status,
2021-04-14,TPG Pace Beneficial II Corp.,YTPG,1.1,636.4,Seeking a Target,
2021-04-14,TCV Acquisition Corp.,TCVA,2.5,8959.5,Seeking a Target,
2021-04-09,Global SPAC Partners Company,GLSPT,,,Seeking a Target,
2021-04-09,Aldel Financial Inc.,ADF,,,Seeking a Target,
2021-04-09,TPG Pace Solutions Corp.,TPGS,1.4,106.5,Seeking a Target,
2021-04-08,Tio Tech A,TIOA,,,Seeking a Target,
2021-04-08,Model Performance Acquisition Corp.,MPAC,,,Seeking a Target,
2021-04-07,Panacea Acquisition Corp. II,PANA,0.3,12.9,Seeking a Target,
2021-04-07,CM Life Sciences III Inc.,CMLT,,,Seeking a Target,
2021-04-06,Ace Global Business Acquisition Limited,ACBA,,,Seeking a Target,
2021-03-31,Nocturne Acquisition Corporation,MBTC,,,Seeking a Target,
2021-03-30,two,TWOA,-0.6,-12.1,Seeking a Target,
2021-03-25,"Landcadia Holdings IV, Inc.",LCA,,,Seeking a Target,
2021-03-25,MSD Acquisition Corp.,MSDA,,,Seeking a Target,
2021-03-24,Corazon Capital V838 Monoceros Corp,CRZN,,,Seeking a Target,
2021-03-24,Decarbonization Plus Acquisition Corporation III,DCRC,,,Seeking a Target,
2021-03-24,Khosla Ventures Acquisition Co. II,KVSB,2.0,36.9,Seeking a Target,
2021-03-24,Khosla Ventures Acquisition Co. III,KVSC,1.1,19.0,Seeking a Target,
2021-03-24,Northern Genesis Acquisition Corp. III,NGC,,,Seeking a Target,
2021-03-24,Disruptive Acquisition Corporation I,DISA,,,Seeking a Target,
2021-03-23,Newbury Street Acquisition Corporation,NBST,,,Seeking a Target,
2021-03-23,ArcLight Clean Transition Corp. II,ACTD,,,Seeking a Target,
2021-03-23,Glass Houses Acquisition Corp.,GLHA,,,Seeking a Target,
2021-03-23,Rocket Internet Growth Opportunities Corp.,RKTA,,,Seeking a Target,
2021-03-23,TB SA Acquisition Corp,TBSA,,,Seeking a Target,
2021-03-23,Virgin Group Acquisition Corp. II,VGII,,,Seeking a Target,
2021-03-23,"Supernova Partners Acquisition Company III, Ltd.",STRE,,,Seeking a Target,
2021-03-23,"Gores Guggenheim, Inc.",GGPI,,,Seeking a Target,
2021-03-23,Magnum Opus Acquisition Limited,OPA,,,Seeking a Target,
2021-03-23,Dragoneer Growth Opportunities Corp. III,DGNU,1.4,23.5,Seeking a Target,
2021-03-23,"Lead Edge Growth Opportunities, Ltd",LEGA,,,Seeking a Target,
2021-03-23,NextGen Acquisition Corp. II,NGCA,,,Seeking a Target,
2021-03-19,LDH Growth Corp I,LDHA,,,Seeking a Target,
2021-03-19,Longview Acquisition Corp. II,LGV,,,Seeking a Target,
2021-03-19,Levere Holdings Corp.,LVRA,,,Seeking a Target,
2021-03-19,Glenfarne Merger Corp.,GGMC,,,Seeking a Target,
2021-03-19,AF Acquisition Corp.,AFAQ,,,Seeking a Target,
2021-03-19,BYTE Acquisition Corp.,BYTS,,,Seeking a Target,
2021-03-18,American Acquisition Opportunity Inc.,AMAO,,,Seeking a Target,
2021-03-18,Forum Merger IV Corporation,FMIV,,,Seeking a Target,
2021-03-18,GX Acquisition Corp. II,GXII,,,Seeking a Target,
2021-03-18,Revolution Healthcare Acquisition Corp.,REVH,,,Seeking a Target,
2021-03-18,Accelerate Acquisition Corp.,AAQC,,,Seeking a Target,
2021-03-18,Research Alliance Corp. II,RACB,10.0,231.9,Seeking a Target,
2021-03-17,KKR Acquisition Holdings I Corp.,KAHC,,,Seeking a Target,
2021-03-17,Athena Technology Acquisition Corp.,ATHN,,,Seeking a Target,
2021-03-17,Tech and Energy Transition Corporation,TETC,,,Seeking a Target,
2021-03-17,Golden Arrow Merger Corp.,GAMC,,,Seeking a Target,
2021-03-17,Kadem Sustainable Impact Corporation,KSI,,,Seeking a Target,
2021-03-17,Build Acquisition Corp.,BGSX,,,Seeking a Target,
2021-03-16,Reinvent Technology Partners Y,RTPY,,,Seeking a Target,
2021-03-16,European Biotech Acquisition Corp.,EBAC,,,Seeking a Target,
2021-03-16,Fortress Value Acquisition Corp. IV,FVIV,,,Seeking a Target,
2021-03-16,Plum Acquisition Corp. I,PLMI,,,Seeking a Target,
2021-03-16,Waldencast Acquisition Corp.,WALD,,,Seeking a Target,
2021-03-16,FAST Acquisition Corp. II,FZT,,,Seeking a Target,
2021-03-12,"Gores Technology Partners, Inc.",GTPA,,,Seeking a Target,
2021-03-12,Ross Acquisition Corp II,ROSS,,,Seeking a Target,
2021-03-12,FTAC Parnassus Acquisition Corp.,FTPA,,,Seeking a Target,
2021-03-12,Stratim Cloud Acquisition Corp.,SCAQ,,,Seeking a Target,
2021-03-12,CF Acquisition Corp. VIII,CFFE,,,Seeking a Target,
2021-03-12,"Gores Technology Partners II, Inc.",GTPB,,,Seeking a Target,
2021-03-11,Silver Spike Acquisition Corp II,SPKB,,,Seeking a Target,
2021-03-11,Archimedes Tech SPAC Partners Co.,ATSP,,,Seeking a Target,
2021-03-11,G&P Acquisition Corp.,GAPA,,,Seeking a Target,
2021-03-11,Frontier Acquisition Corp.,FRON,,,Seeking a Target,
2021-03-11,Pine Technology Acquisition Corp.,PTOC,,,Seeking a Target,
2021-03-11,L Catterton Asia Acquisition Corp,LCAA,,,Seeking a Target,
2021-03-10,Agile Growth Corp.,AGGR,,,Seeking a Target,
2021-03-10,Colonnade Acquisition Corp. II,CLAA,,,Seeking a Target,
2021-03-10,Digital Transformation Opportunities Corp.,DTOC,,,Seeking a Target,
2021-03-10,Vector Acquisition Corporation II,VAQC,-0.5,-4.8,Seeking a Target,
2021-03-10,Sandbridge X2 Corp.,SBII,,,Seeking a Target,
2021-03-10,Forest Road Acquisition Corp. II,FRXB,,,Seeking a Target,
2021-03-10,ESM Acquisition Corporation,ESM,,,Seeking a Target,
2021-03-10,PWP Forward Acquisition Corp. I,FRW,,,Seeking a Target,
2021-03-09,Peridot Acquisition Corp. II,PDOT,,,Seeking a Target,
2021-03-09,SVF Investment Corp. 2,SVFB,3.5,39.2,Seeking a Target,
2021-03-09,SVF Investment Corp. 3,SVFC,2.0,21.0,Seeking a Target,
2021-03-09,Independence Holdings Corp.,ACQR,,,Seeking a Target,
2021-03-05,VPC Impact Acquisition Holdings II,VPCB,,,Seeking a Target,
2021-03-05,Tribe Capital Growth Corp I,ATVC,,,Seeking a Target,
2021-03-05,"VPC Impact Acquisition Holdings III, Inc.",VPCC,,,Seeking a Target,
2021-03-05,Lerer Hippeau Acquisition Corp.,LHAA,-0.5,-4.3,Seeking a Target,
2021-03-05,InterPrivate II Acquisition Corp.,IPVA,,,Seeking a Target,
2021-03-05,InterPrivate III Financial Partners Inc.,IPVF,,,Seeking a Target,
2021-03-05,InterPrivate IV InfraTech Partners Inc.,IPVI,,,Seeking a Target,
2021-03-05,"dMY Technology Group, Inc. IV",DMYQ,,,Seeking a Target,
2021-03-05,Tailwind Two Acquisition Corp.,TWNT,,,Seeking a Target,
2021-03-05,First Reserve Sustainable Growth Corp.,FRSG,,,Seeking a Target,
2021-03-05,Warburg Pincus Capital Corporation I A,WPCA,,,Seeking a Target,
2021-03-05,Warburg Pincus Capital Corporation I B,WPCB,,,Seeking a Target,
2021-03-04,Twin Ridge Capital Acquisition Corp.,TRCA,,,Seeking a Target,
2021-03-04,Altimar Acquisition Corp. III,ATAQ,,,Seeking a Target,
2021-03-04,FTAC Hera Acquisition Corp.,HERA,,,Seeking a Target,
2021-03-04,Property Solutions Acquisition Corp. II,PSAG,-0.4,-3.3,Seeking a Target,
2021-03-04,Atlantic Coastal Acquisition Corp.,ACAH,,,Seeking a Target,
2021-03-04,RXR Acquisition Corp.,RXRA,,,Seeking a Target,
2021-03-04,Aurora Acquisition Corp.,AURC,,,Seeking a Target,
2021-03-04,Khosla Ventures Acquisition Co.,KVSA,5.0,51.3,Seeking a Target,
2021-03-04,M3-Brigade Acquisition II Corp.,MBAC,,,Seeking a Target,
2021-03-03,Roth CH Acquisition III Co.,ROCR,3.3,31.2,Seeking a Target,
2021-03-03,Isos Acquisition Corp.,ISOS,,,Seeking a Target,
2021-03-03,Mission Advancement Corp.,MACC,,,Seeking a Target,
2021-03-02,Goldenbridge Acquisition Limited,GBRG,3.9,36.4,Seeking a Target,
2021-03-02,Live Oak Mobility Acquisition Corp.,LOKM,,,Seeking a Target,
2021-03-02,"Advanced Merger Partners, Inc.",AMPI,,,Seeking a Target,
2021-03-02,Northern Star Investment Corp. III,NSTC,,,Seeking a Target,
2021-03-02,Northern Star Investment Corp. IV,NSTD,,,Seeking a Target,
2021-03-02,TCW Special Purpose Acquisition Corp.,TSPQ,,,Seeking a Target,
2021-03-02,Anzu Special Acquisition Corp I,ANZU,,,Seeking a Target,
2021-03-02,DHC Acquisition Corp.,DHCA,,,Seeking a Target,
2021-03-02,NightDragon Acquisition Corp.,NDAC,,,Seeking a Target,
2021-03-02,"Supernova Partners Acquisition Company II, Ltd.",SNII,,,Seeking a Target,
2021-03-02,FinTech Evolution Acquisition Group,FTEV,,,Seeking a Target,
2021-03-02,Arrowroot Acquisition Corp.,ARRW,,,Seeking a Target,
2021-03-02,Haymaker Acquisition Corp. III,HYAC,,,Seeking a Target,
2021-03-02,DHB Capital Corp.,DHBC,,,Seeking a Target,
2021-03-02,Orion Acquisition Corp.,OHPA,,,Seeking a Target,
2021-02-26,African Gold Acquisition Corporation,AGAC,0.3,2.6,Seeking a Target,
